household_id;iris_id;commune_id;departement_id;region_id;car_availability;bike_availability;use_motorcycle;number_of_vehicles;number_of_bikes;income;census_household_id
44183;751145621;75114;75;11.0;none;none;False;0;0;1501.6882781929548;14090
44406;751093307;75109;75;11.0;none;none;False;0;0;2109.602646944221;14158
44511;751145608;75114;75;11.0;none;none;False;0;0;1844.7551766333347;14190
45918;751208008;75120;75;11.0;none;none;False;0;0;8561.681532918214;14644
47209;751135113;75113;75;11.0;none;none;False;0;0;2196.24666367836;15059
47865;751010203;75101;75;11.0;none;none;False;0;0;8875.614056159884;15268
47991;751197311;75119;75;11.0;none;none;False;0;0;2437.528368124716;15308
49169;751145621;75114;75;11.0;none;some;False;0;1;8372.80740800473;15697
50218;751166102;75116;75;11.0;none;none;False;0;0;1537.7216459976414;16030
52265;751208018;75120;75;11.0;none;none;False;0;0;3378.3951222412707;16694
53274;751135125;75113;75;11.0;some;none;False;1;0;3400.447860081774;17025
53682;751176711;75117;75;11.0;none;none;False;0;0;4306.834765320896;17164
53908;751207802;75120;75;11.0;some;some;False;1;2;8649.365545326902;17233
54091;751197306;75119;75;11.0;none;none;False;0;0;2053.841981751127;17288
56058;751135026;75113;75;11.0;none;none;False;0;0;1507.110137392015;17920
60267;751176513;75117;75;11.0;none;none;False;0;0;1928.5453935228238;19247
60530;751186916;75118;75;11.0;some;none;False;1;0;1600.1782152311507;19328
61895;751104009;75110;75;11.0;none;none;False;0;0;4385.447691262678;19750
63764;751114210;75111;75;11.0;none;none;False;0;0;4260.1323635058725;20341
64091;751207707;75120;75;11.0;some;none;False;1;0;2406.4989235384446;20439
65677;751155707;75115;75;11.0;some;all;False;1;4;4718.121752905951;20949
66173;751207815;75120;75;11.0;some;some;False;1;1;7122.712161721396;21103
68774;751176605;75117;75;11.0;none;none;False;0;0;738.1170467285285;21935
69000;751051704;75105;75;11.0;none;none;False;0;0;2063.051280484513;22011
69274;751155917;75115;75;11.0;none;none;False;0;0;5646.79025518771;22098
70035;751052001;75105;75;11.0;some;some;False;1;1;8442.659491826991;22344
70988;751093308;75109;75;11.0;none;none;False;0;0;2624.716022652836;22656
71005;751155708;75115;75;11.0;none;none;False;0;0;3794.529684351302;22661
71438;751176812;75117;75;11.0;none;none;False;0;0;3685.456534114336;22804
73883;751104004;75110;75;11.0;none;none;False;0;0;5479.767235800606;23574
74307;751093303;75109;75;11.0;none;none;False;0;0;1931.4816629314132;23705
74317;751114404;75111;75;11.0;none;none;False;0;0;1003.3184063805934;23710
74651;751207903;75120;75;11.0;none;none;False;0;0;1073.9234044847287;23814
75500;751114211;75111;75;11.0;none;none;False;0;0;2598.603826521705;24093
76150;751155711;75115;75;11.0;none;none;False;0;0;1321.0581228029591;24291
76440;751208002;75120;75;11.0;all;none;False;1;0;600.7727606502935;24394
77267;751062306;75106;75;11.0;none;none;False;0;0;7075.240786010649;24654
79117;751197301;75119;75;11.0;none;all;False;0;1;3678.9037380620866;25234
79706;751145302;75114;75;11.0;none;none;False;0;0;4309.084887727497;25424
80479;751114111;75111;75;11.0;none;all;False;0;2;1648.6140805459484;25674
80837;751103806;75110;75;11.0;none;all;False;0;2;721.0278280418374;25793
83620;751020701;75102;75;11.0;none;none;False;0;0;1303.3066635550595;26689
84369;751114211;75111;75;11.0;none;all;False;0;3;6203.341036565471;26929
85744;751124606;75112;75;11.0;none;none;False;0;0;3059.753734183264;27361
86938;751103803;75110;75;11.0;none;none;False;0;0;2982.7709253900844;27745
88765;751114108;75111;75;11.0;none;none;False;0;0;2237.801504416146;28327
90627;751155902;75115;75;11.0;all;none;False;1;0;2328.3719914179983;28923
92501;751135012;75113;75;11.0;none;none;False;0;0;1555.5577221862222;29528
93144;751187004;75118;75;11.0;none;none;False;0;0;4459.5375924579075;29734
94841;751145510;75114;75;11.0;none;none;False;0;0;5390.696039304812;30257
95321;751093309;75109;75;11.0;none;none;False;0;0;7143.495440391801;30415
96753;751166214;75116;75;11.0;all;none;False;2;0;9623.131413236477;30859
98171;751041401;75104;75;11.0;none;none;False;0;0;993.1498641308286;31300
100273;751020801;75102;75;11.0;none;none;False;0;0;691.8785426165349;31973
100964;751104006;75110;75;11.0;some;some;False;1;1;5076.046392214019;32189
101695;751186923;75118;75;11.0;none;none;False;0;0;1282.7673888592924;32425
102871;751072806;75107;75;11.0;some;some;False;1;4;16307.393006462622;32795
103494;751187003;75118;75;11.0;none;none;False;0;0;9722.736243404168;33000
104802;751176506;75117;75;11.0;some;some;False;1;2;14235.282563504094;33413
106611;751166407;75116;75;11.0;none;none;False;0;0;10888.323107242033;34014
107329;751208011;75120;75;11.0;none;none;False;0;0;4807.748716431522;34256
107414;751166123;75116;75;11.0;none;none;False;0;0;1141.3507358485012;34288
108269;751187026;75118;75;11.0;none;none;False;0;0;20397.587767382018;34556
110728;751145601;75114;75;11.0;none;none;False;0;0;2337.819763898054;35349
112572;751197312;75119;75;11.0;none;none;False;0;0;2528.7266822761403;35931
113205;751155901;75115;75;11.0;none;none;False;0;0;4316.106162920782;36132
116003;751083004;75108;75;11.0;none;none;False;0;0;7136.786530341773;37044
116527;751093503;75109;75;11.0;none;none;False;0;0;7188.056397289317;37219
118142;751135020;75113;75;11.0;none;none;False;0;0;1199.9984128881993;37717
118630;751124509;75112;75;11.0;none;none;False;0;0;2333.323345048284;37884
118759;751186905;75118;75;11.0;none;none;False;0;0;526.6871082918258;37921
118898;751145401;75114;75;11.0;none;none;False;0;0;3053.873445406264;37964
119269;751155810;75115;75;11.0;none;none;False;0;0;2677.4590863473936;38089
121122;751155912;75115;75;11.0;all;all;False;1;2;2335.703280061343;38680
121337;751166202;75116;75;11.0;some;some;False;1;1;5439.337814512741;38750
122160;751114304;75111;75;11.0;none;some;False;0;1;4625.210321338522;38993
125099;751124623;75112;75;11.0;all;none;False;1;0;1870.7225130452912;39913
125712;751187018;75118;75;11.0;none;none;False;0;0;1888.7317883154844;40095
125959;751156007;75115;75;11.0;none;some;False;0;2;5581.6684975768685;40176
126526;751104007;75110;75;11.0;all;none;False;1;0;1341.2478843907911;40372
129326;751145621;75114;75;11.0;all;all;False;1;2;1762.8959248571025;41245
130412;751166220;75116;75;11.0;some;some;False;2;2;18736.18627975251;41591
131760;751145623;75114;75;11.0;all;all;False;1;3;3123.309766317977;42016
135951;751114404;75111;75;11.0;some;some;False;1;1;8943.18524611978;43355
136404;751166115;75116;75;11.0;none;all;False;0;1;6456.965553562703;43496
136865;751155905;75115;75;11.0;none;all;False;0;2;810.1299125833664;43645
139040;751197603;75119;75;11.0;none;none;False;0;0;2874.5554216129854;44336
139357;751051905;75105;75;11.0;none;none;False;0;0;2396.9871554537112;44443
139997;751155813;75115;75;11.0;some;some;False;1;1;3537.4679935201675;44649
140933;751062204;75106;75;11.0;all;all;False;1;2;3098.5031757693105;44943
142482;751208003;75120;75;11.0;none;some;False;0;1;1491.8289072995808;45437
146981;751114208;75111;75;11.0;none;none;False;0;0;3585.1743421009496;46879
150028;751135005;75113;75;11.0;none;none;False;0;0;2375.612837789008;47853
152086;751155805;75115;75;11.0;all;some;False;1;1;10386.764892326195;48516
153862;751197302;75119;75;11.0;all;none;False;1;0;1252.8641100573395;49086
156136;751145612;75114;75;11.0;none;none;False;0;0;4475.82249903185;49807
157686;751145506;75114;75;11.0;none;none;False;0;0;1394.5100293251078;50283
158491;751197401;75119;75;11.0;none;all;False;0;1;1230.5247946303728;50552
158531;751083209;75108;75;11.0;none;none;False;0;0;5253.312153800847;50562
158895;751166209;75116;75;11.0;some;none;False;1;0;8048.44357715533;50671
160090;751208024;75120;75;11.0;all;some;False;1;1;4519.8359966916105;51052
160282;751156016;75115;75;11.0;all;all;False;1;1;5237.89546547202;51112
160629;751187203;75118;75;11.0;none;none;False;0;0;1805.5044560478273;51223
162022;751103909;75110;75;11.0;none;none;False;0;0;2878.7282177129914;51677
162772;751207713;75120;75;11.0;some;all;False;1;2;4166.652068062862;51917
166097;751207806;75120;75;11.0;none;none;False;0;0;2905.938108047879;52996
166179;751166114;75116;75;11.0;none;all;False;0;2;1604.0239778235245;53026
166212;751145305;75114;75;11.0;none;none;False;0;0;3067.456982249532;53035
166340;751208012;75120;75;11.0;some;some;False;1;3;4951.2350272065605;53082
166872;751197506;75119;75;11.0;none;none;False;0;0;7146.673248499957;53249
168307;751124809;75112;75;11.0;all;some;False;1;1;1819.2994646559432;53718
168790;751072704;75107;75;11.0;none;all;False;0;1;1774.8161060336818;53878
168979;751208015;75120;75;11.0;none;all;False;0;2;2526.238420276524;53940
169468;751052001;75105;75;11.0;none;none;False;0;0;2562.6237350803053;54087
174109;751062101;75106;75;11.0;none;none;False;0;0;2530.991461251201;55603
174711;751114204;75111;75;11.0;none;none;False;0;0;4116.672407774727;55794
175300;751176501;75117;75;11.0;none;none;False;0;0;4255.20539029378;55986
175492;751155802;75115;75;11.0;none;none;False;0;0;173.74321082697622;56049
176189;751187022;75118;75;11.0;none;none;False;0;0;2520.6737269876207;56271
176700;751124807;75112;75;11.0;none;none;False;0;0;6564.944086359399;56437
178370;751155916;75115;75;11.0;none;none;False;0;0;2846.4467753238646;56958
179242;751114106;75111;75;11.0;none;none;False;0;0;5087.1666588069165;57226
181196;751187205;75118;75;11.0;none;none;False;0;0;1106.0553822714705;57855
181749;751156012;75115;75;11.0;all;all;False;1;5;2682.894008740869;58031
181951;751062304;75106;75;11.0;none;none;False;0;0;8587.525681478206;58094
183543;751114311;75111;75;11.0;none;none;False;0;0;1058.4410369406523;58609
184563;751176508;75117;75;11.0;some;none;False;1;0;3699.587889484458;58932
189362;751207816;75120;75;11.0;none;none;False;0;0;775.95312011315;60436
189534;751124613;75112;75;11.0;none;none;False;0;0;4978.951767712843;60486
190719;751124808;75112;75;11.0;none;none;False;0;0;2850.9497929287963;60862
194004;751104007;75110;75;11.0;none;none;False;0;0;5711.39859047437;61900
194336;751010201;75101;75;11.0;none;none;False;0;0;13376.960658847744;62006
194377;751166305;75116;75;11.0;none;some;False;0;1;10642.823327938106;62018
194998;751208002;75120;75;11.0;none;none;False;0;0;3851.549618663392;62218
195200;751197520;75119;75;11.0;none;all;False;0;1;1158.5672390406746;62286
196943;751155912;75115;75;11.0;all;none;False;3;0;1093.8467681090992;62856
197148;751208009;75120;75;11.0;none;none;False;0;0;2752.8120692977577;62919
197415;751072704;75107;75;11.0;all;none;False;1;0;4082.1173159745454;63004
198142;751166107;75116;75;11.0;none;none;False;0;0;636.2736532840186;63235
201808;751156001;75115;75;11.0;none;none;False;0;0;4805.162734754212;64453
202234;751145606;75114;75;11.0;none;all;False;0;1;1185.6101394454324;64591
203135;751166105;75116;75;11.0;none;none;False;0;0;5242.01503634505;64885
203320;751114206;75111;75;11.0;none;none;False;0;0;6119.61910457018;64944
203839;751176613;75117;75;11.0;none;none;False;1;0;3473.4549515682097;65102
204327;751166115;75116;75;11.0;none;none;False;0;0;35.143324688840124;65268
204954;751186905;75118;75;11.0;none;all;False;0;1;2334.371946727268;65466
205576;751010401;75101;75;11.0;some;some;False;1;1;2490.9001278280884;65667
206406;751166306;75116;75;11.0;none;none;False;0;0;5675.231635238558;65923
207816;751114319;75111;75;11.0;none;none;False;0;0;1902.2658621787377;66362
208150;751187102;75118;75;11.0;none;none;False;0;0;4752.942951942409;66468
210063;751187009;75118;75;11.0;none;all;False;0;1;2294.158921307114;67096
210184;751187026;75118;75;11.0;some;some;False;1;1;3005.3054572364495;67134
210909;751145515;75114;75;11.0;none;none;False;0;0;8944.436673829365;67354
211238;751145301;75114;75;11.0;none;some;False;0;1;1133.2882679737882;67464
213166;751155916;75115;75;11.0;some;none;False;1;0;3018.7687349736925;68103
213571;751134906;75113;75;11.0;none;none;False;0;0;2123.423848691707;68232
215764;751176710;75117;75;11.0;none;all;False;0;1;4190.436034113027;68948
217000;751072804;75107;75;11.0;none;none;False;0;0;1562.2753775333235;69334
219661;751176803;75117;75;11.0;none;all;False;0;1;7332.307531713652;70199
221073;751207907;75120;75;11.0;none;all;False;0;1;4626.9750802700455;70653
221161;751114203;75111;75;11.0;none;none;False;0;0;1048.998565522584;70681
222748;751166103;75116;75;11.0;some;some;False;1;1;4099.149715679185;71192
224588;751124612;75112;75;11.0;none;none;False;0;0;1240.8628293569443;71765
225458;751145511;75114;75;11.0;all;none;False;2;0;2068.812519150456;72037
225895;751197318;75119;75;11.0;none;all;False;0;2;658.3211221285231;72169
226647;751062102;75106;75;11.0;all;some;False;1;2;4953.906075738965;72407
227140;751135032;75113;75;11.0;none;none;False;0;0;4466.113637645011;72567
228481;751187110;75118;75;11.0;some;some;False;1;2;8452.929315609459;73010
228883;751083206;75108;75;11.0;none;none;False;0;0;12402.531698919716;73137
230721;751176810;75117;75;11.0;none;none;False;0;0;8472.626077704948;73723
231159;751208025;75120;75;11.0;none;all;False;0;1;4566.3905373634525;73858
231829;751103906;75110;75;11.0;some;all;False;1;3;8037.17542035253;74078
233878;751166402;75116;75;11.0;none;none;False;0;0;8071.866940404097;74746
234256;751135124;75113;75;11.0;none;all;False;0;1;2339.7943388468293;74871
234260;751166304;75116;75;11.0;none;none;False;0;0;2278.909419914798;74872
236215;751155806;75115;75;11.0;none;none;False;0;0;3358.902799147351;75517
241080;751155901;75115;75;11.0;none;some;False;0;1;6929.227750289596;77067
241207;751176706;75117;75;11.0;none;none;False;0;0;1061.267080444484;77105
241215;751135028;75113;75;11.0;none;none;False;0;0;1164.2602952202706;77108
241865;751124677;75112;75;11.0;some;some;False;2;3;8733.518202461577;77308
242217;751155903;75115;75;11.0;none;none;False;0;0;44.76156233782672;77428
242225;751135111;75113;75;11.0;none;none;False;0;0;2778.1424386756653;77430
242554;751166127;75116;75;11.0;some;none;False;1;0;431.36272159307333;77540
245161;751208007;75120;75;11.0;all;none;False;1;0;1277.8104902367002;78325
246834;751187009;75118;75;11.0;none;none;False;0;0;2381.3169159389854;78862
248133;751062308;75106;75;11.0;none;some;False;0;1;7267.750389549018;79283
250936;751135115;75113;75;11.0;all;none;False;1;0;1672.4607530449548;80174
251170;751156003;75115;75;11.0;some;all;False;1;4;136.66999492094686;80249
257875;751083204;75108;75;11.0;some;none;False;1;0;1552.1631302539622;82369
259748;751155803;75115;75;11.0;none;all;False;0;1;2766.9621582097125;82982
260050;751124601;75112;75;11.0;all;none;False;1;0;1158.2752988222742;83076
260426;751208019;75120;75;11.0;none;none;False;0;0;608.347391652167;83195
260908;751155717;75115;75;11.0;all;some;False;2;1;7059.998507040755;83349
261009;751062402;75106;75;11.0;none;all;False;0;1;3867.3509442392565;83382
261175;751197408;75119;75;11.0;none;none;False;0;0;2927.813450643294;83436
262124;751176708;75117;75;11.0;none;all;False;0;2;6326.256430348127;83726
262198;751124705;75112;75;11.0;all;all;False;1;1;1804.697635410064;83754
263375;751020804;75102;75;11.0;none;none;False;0;0;1075.4261519472045;84130
264084;751176806;75117;75;11.0;some;none;False;1;0;896.1824898631417;84372
265476;751155813;75115;75;11.0;some;none;False;1;0;5476.887939586037;84814
265852;751145604;75114;75;11.0;none;none;False;0;0;3864.4263866335486;84930
266352;751197517;75119;75;11.0;none;none;False;0;0;3964.2038181515013;85093
267753;751072801;75107;75;11.0;none;none;False;0;0;3465.137441741839;85533
268212;751135125;75113;75;11.0;none;none;False;0;0;4116.19038520695;85682
269124;751197305;75119;75;11.0;none;all;False;0;1;1232.5562882676345;85983
269838;751103705;75110;75;11.0;none;none;False;0;0;2905.8442108893696;86208
269861;751176615;75117;75;11.0;some;some;False;1;2;6430.638792661155;86214
272085;751155728;75115;75;11.0;none;none;False;0;0;2014.555437492474;86929
274865;751145515;75114;75;11.0;all;all;False;1;2;4193.29949575982;87814
275003;751187014;75118;75;11.0;none;all;False;0;1;1291.3430621480563;87860
276924;751186911;75118;75;11.0;none;all;False;0;1;2679.1765258762953;88474
280950;751207702;75120;75;11.0;some;some;False;1;1;2226.299872873768;89756
281415;751072802;75107;75;11.0;none;none;False;0;0;467.84693516852394;89909
282536;751176607;75117;75;11.0;none;none;False;0;0;3242.341012141875;90266
283676;751051802;75105;75;11.0;none;none;False;0;0;2585.573965928654;90644
286870;751124705;75112;75;11.0;all;all;False;1;2;4336.267238623459;91636
288315;751134904;75113;75;11.0;none;none;False;0;0;4772.372888644475;92103
289176;751176615;75117;75;11.0;none;none;False;0;0;15498.798935117982;92372
290070;751041302;75104;75;11.0;none;none;False;0;0;1071.7506562821272;92676
290467;751155908;75115;75;11.0;all;all;False;2;1;3416.2166873213764;92795
290599;751093307;75109;75;11.0;none;all;False;0;2;11123.319146058293;92841
291474;751031001;75103;75;11.0;none;none;False;0;0;2986.4712071443796;93117
292626;751093504;75109;75;11.0;none;none;False;0;0;13885.568692847148;93477
292862;751145515;75114;75;11.0;none;none;False;0;0;3206.5014546790094;93549
293476;751134905;75113;75;11.0;none;none;False;0;0;6929.637112207232;93743
293600;751207809;75120;75;11.0;none;none;False;0;0;269.5196251177995;93784
295849;751062102;75106;75;11.0;none;none;False;0;0;4000.822585859163;94519
296342;751197317;75119;75;11.0;some;all;False;1;2;2389.712017814112;94683
296371;751155911;75115;75;11.0;none;none;False;0;0;2548.838919809131;94694
297346;751187012;75118;75;11.0;none;none;False;0;0;2470.216124972185;94995
298880;751135125;75113;75;11.0;none;none;False;0;0;2440.5066294952358;95493
299812;751207912;75120;75;11.0;none;none;False;0;0;4318.041308198237;95799
300593;751072704;75107;75;11.0;none;all;False;0;1;2931.619641787061;96055
300627;751145623;75114;75;11.0;none;none;False;0;0;5115.939998546681;96067
301431;751207707;75120;75;11.0;some;none;False;1;0;1963.7728448080443;96324
302445;751052004;75105;75;11.0;none;none;False;0;0;3710.466581219239;96645
303360;751103803;75110;75;11.0;none;none;False;0;0;4458.020541003024;96945
303889;751197307;75119;75;11.0;some;none;False;1;0;4708.04790955233;97114
304445;751052004;75105;75;11.0;none;none;False;0;0;5380.187591790532;97295
304920;751135111;75113;75;11.0;none;none;False;0;0;3433.3036917443733;97440
305098;751176515;75117;75;11.0;none;none;False;0;0;1663.691740250455;97497
305151;751145618;75114;75;11.0;none;none;False;0;0;951.4790978960107;97516
307261;751083207;75108;75;11.0;some;all;False;1;2;15205.57620148873;98185
307542;751103709;75110;75;11.0;some;none;False;1;0;6045.409841986053;98271
308193;751124608;75112;75;11.0;none;none;False;0;0;1034.6359358398827;98479
308788;751103901;75110;75;11.0;none;none;False;0;0;19820.04244009285;98666
308874;751114409;75111;75;11.0;all;all;False;1;1;2380.1336068966375;98696
308955;751135203;75113;75;11.0;none;none;False;0;0;4952.423408416971;98723
309222;751145622;75114;75;11.0;none;none;False;0;0;3747.0955937717144;98806
310443;751208008;75120;75;11.0;none;none;False;0;0;1074.4608963276248;99196
311704;751114314;75111;75;11.0;some;none;False;1;0;3907.438458119334;99606
312358;751124503;75112;75;11.0;none;all;False;0;1;3824.093151543989;99817
317501;751124513;75112;75;11.0;none;none;False;0;0;2935.1538029150543;101465
317674;751093308;75109;75;11.0;none;none;False;0;0;2316.5275832095767;101516
318169;751114314;75111;75;11.0;none;none;False;0;0;2391.606274863252;101687
318209;751135024;75113;75;11.0;all;all;False;3;2;1857.1369569611907;101698
320492;751114306;75111;75;11.0;all;none;False;1;0;4958.953157148203;102427
326414;751156016;75115;75;11.0;none;all;False;0;6;1376.8595693343052;104285
327178;751093605;75109;75;11.0;none;none;False;0;0;2101.5356924652688;104521
327561;751083203;75108;75;11.0;none;none;False;0;0;11740.98354474802;104638
327957;751187205;75118;75;11.0;none;none;False;0;0;3281.6054802540834;104764
329992;751155718;75115;75;11.0;none;none;False;0;0;2349.6098241717355;105429
330310;751103703;75110;75;11.0;none;none;False;0;0;797.8359649120943;105526
331038;751145620;75114;75;11.0;none;all;False;0;1;5252.072425286779;105764
331963;751208019;75120;75;11.0;all;none;False;1;0;126.33008808985171;106055
332216;751166108;75116;75;11.0;some;all;False;1;3;1658.534492546924;106133
332638;751145511;75114;75;11.0;some;none;False;1;0;5254.606457764831;106257
332693;751010201;75101;75;11.0;none;none;False;0;0;9160.598696776895;106279
333106;751104005;75110;75;11.0;none;none;False;0;0;2926.8729866174954;106427
333117;751155904;75115;75;11.0;none;some;False;0;1;3990.0627374578553;106429
335778;751114318;75111;75;11.0;none;some;False;0;2;5329.643114191622;107294
336410;751156013;75115;75;11.0;none;all;False;0;3;4552.916783792842;107498
337661;751166202;75116;75;11.0;none;none;False;0;0;2132.4753817535598;107890
337935;751155906;75115;75;11.0;none;all;False;0;2;2351.9144578002874;107977
338510;751145613;75114;75;11.0;some;none;False;1;0;1711.500146027661;108161
339598;751145508;75114;75;11.0;none;none;False;0;0;3157.5514340732534;108512
345084;751155816;75115;75;11.0;none;none;False;0;0;9680.311322042173;110274
347062;751093305;75109;75;11.0;none;all;False;0;2;7094.463737753134;110908
349411;751197611;75119;75;11.0;none;all;False;0;1;2758.480143760678;111655
350293;751135027;75113;75;11.0;none;all;False;0;1;1678.3077112957676;111943
350302;751166120;75116;75;11.0;all;all;False;1;2;9320.620874730337;111946
352029;751145603;75114;75;11.0;none;none;False;0;0;2993.154889035488;112512
353516;751135202;75113;75;11.0;none;none;False;0;0;1159.571939946924;112991
354346;751124615;75112;75;11.0;none;all;False;0;1;3255.0216904648596;113268
354521;751207708;75120;75;11.0;none;none;False;0;0;2348.7524141632593;113323
355120;751207908;75120;75;11.0;none;none;False;0;0;1027.0717753703007;113524
355137;751187004;75118;75;11.0;none;none;False;0;0;2950.608430217758;113531
355399;751155707;75115;75;11.0;none;none;False;0;0;2886.0590430520133;113625
356318;751135123;75113;75;11.0;none;none;False;0;0;6110.9014290505365;113926
357187;751114107;75111;75;11.0;none;none;False;0;0;322.8664619218334;114202
357503;751072808;75107;75;11.0;all;none;False;1;0;141.9898759635041;114303
358612;751187023;75118;75;11.0;none;some;False;0;1;5427.967868872874;114665
358664;751135002;75113;75;11.0;some;some;False;1;2;6328.073753018032;114684
358690;751135106;75113;75;11.0;none;all;False;0;2;2450.6771839909825;114691
361396;751072705;75107;75;11.0;none;none;False;0;0;18549.98496862038;115572
362852;751207708;75120;75;11.0;none;all;False;0;1;1252.4804094915864;116042
363033;751145502;75114;75;11.0;all;none;False;1;0;4579.4981986934035;116100
363446;751155810;75115;75;11.0;none;none;False;0;0;4880.463201721798;116226
363610;751156008;75115;75;11.0;some;none;False;1;0;4237.320933682273;116277
363747;751103905;75110;75;11.0;none;none;False;1;0;3284.8531351853135;116319
368106;751135015;75113;75;11.0;none;none;False;0;0;4628.768236119329;117715
368138;751135010;75113;75;11.0;none;none;False;0;0;4556.463652851972;117729
369473;751051908;75105;75;11.0;none;none;False;0;0;3080.786623398665;118158
370517;751135028;75113;75;11.0;none;none;False;0;0;1155.7779911368168;118490
371829;751135001;75113;75;11.0;all;all;False;1;2;2368.5208568918792;118900
372605;751197405;75119;75;11.0;some;none;False;1;0;5263.710767595774;119141
373742;751135013;75113;75;11.0;none;none;False;0;0;2286.4253313628074;119517
377197;751051906;75105;75;11.0;none;none;False;0;0;4058.537679412674;120626
378274;751103908;75110;75;11.0;all;none;False;1;0;1864.1737750476161;120978
379712;751145601;75114;75;11.0;none;none;False;0;0;6489.299277415766;121443
380260;751135013;75113;75;11.0;some;all;False;1;3;7832.280576297801;121617
381536;751207711;75120;75;11.0;some;all;False;1;4;1873.206479574302;122010
383651;751176509;75117;75;11.0;some;none;False;1;0;7561.016246138859;122676
384648;751145613;75114;75;11.0;none;none;False;0;0;157.81250867191173;122990
385201;751114107;75111;75;11.0;some;all;False;1;2;4087.1417093370737;123177
385349;751114203;75111;75;11.0;none;none;False;0;0;5709.990123863585;123217
385387;751145623;75114;75;11.0;some;all;False;2;2;4761.439769287384;123230
385849;751186907;75118;75;11.0;all;all;False;1;1;1791.542361542053;123371
386151;751176513;75117;75;11.0;none;none;False;0;0;248.41238247398036;123463
389247;751145605;75114;75;11.0;some;some;False;1;1;6658.545884594963;124445
391071;751176611;75117;75;11.0;none;none;False;0;0;2245.334248017504;125027
391436;751187004;75118;75;11.0;none;none;False;0;0;5161.396615341509;125135
392569;751166219;75116;75;11.0;none;none;False;0;0;6251.448046774888;125501
393907;751207908;75120;75;11.0;none;none;False;0;0;4304.462314768811;125941
394237;751145508;75114;75;11.0;some;some;False;1;3;4507.754210751083;126050
394559;751187201;75118;75;11.0;none;none;False;0;0;5146.268458294622;126147
396122;751124513;75112;75;11.0;none;none;False;0;0;5359.9346511128815;126637
396397;751197302;75119;75;11.0;some;some;False;1;1;6358.06743866975;126720
397936;751135104;75113;75;11.0;none;none;False;0;0;2307.1101897071285;127216
398523;751083202;75108;75;11.0;some;none;False;1;0;348.82986812314545;127395
